No,Project_name,Municipality,Sector,Currency,Budget,YearStart,YearEnd,Funding_Donor,Implementing_Partner,Status,SDG_Alignment,NSDP_Alignment,duration_years,project_status,budget_clean,unit_of_analysis,activity_group,beneficiary_data_available,budget_normalized,derived_status,level_areas
243,Construction of the  Pediatric and ICCU Building in Guido Valadares National Hospital  HNGV,Dili,Health,USD,2802500.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,28025000.0,Activity record,,False,True,True,Municipality
244,Supervision for Construction of the  Pediatric and ICCU Building in Guido Valadares National Hospital  HNGV,Dili,Health,USD,364841.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,3648410.0,Activity record,,False,True,True,Municipality
245,Construction of New  Warehouse for Medical Equipment,Dili,Health,USD,400000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",4. Institutional Framework,,,4000000.0,Activity record,,False,True,True,Municipality
246,Consultant Supervision for New Construction of Warehouse for Medical Equipment,Dili,Health,USD,142000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",4. Institutional Framework,,,1420000.0,Activity record,,False,True,True,Municipality
247,Rehabilitation of Dr  Antonio Carvalho Hospital Lahane,Dili,Health,USD,100000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",4. Institutional Framework,,,1000000.0,Activity record,,False,True,True,Municipality
425,Primary Health Care - Administrative and Logistics Support; Promotion of Health Education; Health Centers,Dili,Health,USD,759916.0,2025,,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,7599160.0,Activity record,,False,True,True,Municipality
433,Municipal Health Services,Ermera,Health,USD,445572.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,4455720.0,Activity record,,False,True,True,Municipality
445,Primary Health Care - Management of Health Personnel; Logistical support to health delivery activities; Health care facilities and residences of personnel,Ermera,Health,USD,445572.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,,4455720.0,Activity record,,False,True,True,Municipality
482,Primary Health Care - Health personnel management; Logistical support to health delivery activities,Liquica,Health,USD,248243.0,2025,,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,,2482430.0,Activity record,,False,True,True,Municipality
499,Primary Health Care - Promotion of Health Education; Comprehensive Health Services; Maternal and Child Health,Manatuto,Health,USD,36000.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,,360000.0,Activity record,,False,True,True,Municipality
516,Primary Health Care - Health personnel management; Logistical support to health delivery activities,Manufahi,Health,USD,378052.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,3780520.0,Activity record,,False,True,True,Municipality
564,"Primary Health Care - Manage environmental health; Program SISCA; Maternal, Child Care; Disease Controls; Nutrition",Oecusse,Health,USD,26225.0,2025,,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,262250.0,Activity record,,False,True,True,Municipality
565,Secondary and Tertiary Health Care - Purchase of medicines and medical consumables; Strengthening Service Management and clinical nutrition,Oecusse,Health,USD,757222.0,2025,,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,7572220.0,Activity record,,False,True,True,Municipality
47,Timor-Leste Covid-19 Response and Health System Preparedness Project,Timor-Leste,Health,USD,5000000.0,2023,2025.0,WB,Not identified,Ongoing - Active,2. Energy Access & Affordability,4. Institutional Framework,,,50000000.0,Activity record,,False,True,True,National
110,Partnership for Human Development,Timor-Leste,Health,USD,90156000.0,2023,2026.0,DFAT,Not identified,Ongoing - Active,"6. Climate, Biodiversity & Pollution",3. Economic Development,,,901560000.0,Activity record,,False,True,True,National
147,NP: Leprosy Mission New Zealand (LMNZ),Timor-Leste,Health,USD,1586000.0,2023,2027.0,MFAT,Leprosy Mission New Zealand,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,15860000.0,Activity record,,False,True,True,National
150,Pacific Sexual Reproductive Health & Rights 2023 - 2027,Timor-Leste,Health,USD,7090000.0,2023,2029.0,MFAT,Not identified,Ongoing - Active,4. Transforming Education,4. Institutional Framework,,,70900000.0,Activity record,,False,True,True,National
274,"Integrated SRH package, guidelines and services",Timor-Leste,Health,USD,915175.0,2023,2031.0,UNFPA,UNFPA,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,9151750.0,Activity record,,False,True,True,National
275,Integrated Basic Emergency Obstetric and Newborn Care Services,Timor-Leste,Health,USD,1535768.0,2023,2024.0,"DFAT, Instituto Camoes Portugal",UNFPA,Completed,5. Job & Social Protection,1. Social Capital,,,15357680.0,Activity record,,False,True,True,National
276,Maternal Health Trust Fund (MHTF) Activities,Timor-Leste,Health,USD,887773.0,2023,2023.0,UNFPA,UNFPA,Completed,5. Job & Social Protection,1. Social Capital,,,8877730.0,Activity record,,False,True,True,National
277,Support implementation of the National Reproductive Health Commodity Security (RHCS) Strategy,Timor-Leste,Health,USD,1415629.0,2023,2031.0,UNFPA,UNFPA,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,,14156290.0,Activity record,,False,True,True,National
278,mSupply-Scaling up electronic Logistics Information Management System (eLMIS) in Timor-Leste,Timor-Leste,Health,USD,662683.0,2023,2031.0,"DFAT, UNFPA",UNFPA,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,,6626830.0,Activity record,,False,True,True,National
280,HIV and STls Prevention Interventions for Key Populations in Timor-Leste,Timor-Leste,Health,USD,1751894.0,2023,2023.0,"UNFPA, Global Fund, UBRAF",UNFPA,Completed,1. Transformation Food Systems,3. Economic Development,,,17518940.0,Activity record,,False,True,True,National
284,Comprehensive Sexuality Education in-school and out-of-school,Timor-Leste,Health,USD,436547.0,2023,2031.0,UNFPA,UNFPA,Ongoing - Active,4. Transforming Education,3. Economic Development,,,4365470.0,Activity record,,False,True,True,National
290,Provide food and nutrition assistance to crisis-affected populations,Timor-Leste,Health,USD,1077201.0,2023,2025.0,UN-CERF and FRANCE-MOFA,WFP,Ongoing - Active,4. Transforming Education,1. Social Capital,,,10772010.0,Activity record,,False,True,True,National
293,"Provide on-demand services including food and non-food procurement, and logistics supply chain capacity",Timor-Leste,Health,USD,600001.0,2023,2025.0,Ministry of Health,WFP,Ongoing - Active,3. Digital Connectivity,1. Social Capital,,,6000010.0,Activity record,,False,True,True,National
575,Strategic Priority 1 :Universal Health Coverage,Timor-Leste,Health,USD,7163000.0,2023,2025.0,"GAVI, Global Fund, EU, DFAT, UNICEF, WDF, UNITAID, JICA, Fleming","MOH, INSPTL, INFPM, HNGV",Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,71630000.0,Activity record,,False,True,True,National
576,Strategic Priority 2 : Health Emergencies,Timor-Leste,Health,USD,1743000.0,2023,2025.0,"KOICA, DFAT","MOH, INSPTL, INFPM, HNGV",Ongoing - Active,4. Transforming Education,4. Institutional Framework,,,17430000.0,Activity record,,False,True,True,National
577,Strategic Priority 3 : Health & well Being,Timor-Leste,Health,USD,2730000.0,2023,2025.0,"WFP, RTSL, FCDO, EU","MOH, INSPTL, INFPM, HNGV",Ongoing - Active,4. Transforming Education,1. Social Capital,,,27300000.0,Activity record,,False,True,True,National
578,Pandemic Influenza Prepardness,Timor-Leste,Health,USD,150000.0,2023,2025.0,WHO,"MOH, INSPTL, INFPM, HNGV",Ongoing - Active,4. Transforming Education,1. Social Capital,,,1500000.0,Activity record,,False,True,True,National
579,Emegency Operation and Appeal,Timor-Leste,Health,USD,4000000.0,2023,2025.0,Pandemic Fund,"MOH, INSPTL, INFPM, HNGV",Ongoing - Active,4. Transforming Education,1. Social Capital,,,40000000.0,Activity record,,False,True,True,National
580,Tobacco Control,Timor-Leste,Health,USD,80000.0,2023,2025.0,NORAD,MOH,Ongoing - Active,4. Transforming Education,1. Social Capital,,,800000.0,Activity record,,False,True,True,National
678,Timor-Leste Covid-19 Response and Health System Preparedness Project,Timor-Leste,Health,USD,5000000.0,2023,2025.0,WB,,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,,50000000.0,Activity record,,False,True,True,National
694,"Positive Parenting and Nutrition in Aileu, Ainaro, Ermera",Timor-Leste,Health,USD,1700000.0,2023,2025.0,DFAT,PLAN International,Completed,4. Transforming Education,1. Social Capital,,,17000000.0,Activity record,,False,True,True,National
542,Primary Health - Health personnel management; Logistical support to health delivery activities; Maternal and Child Care; SISCA Program and Family Health,Viqueque,Health,USD,337034.0,2025,,GovTL,GovTL,Ongoing - Active,4. Transforming Education,4. Institutional Framework,,,3370340.0,Activity record,,False,True,True,Municipality
628,Rehabilitation of Health Center with Toilet Extension - Uatocarbau; PDIM,Viqueque,Health,USD,237506.0,2025,2025.0,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,,2375060.0,Activity record,,False,True,True,Municipality
629,Construction of Maternity - Uatulari; PDIM,Viqueque,Health,USD,234694.0,2025,2025.0,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,2346940.0,Activity record,,False,True,True,Municipality
679,Timor-Leste Covid-19 and Health Systems Strengthening Support,Viqueque,Health,USD,2750000.0,2023,2025.0,WB,,Ongoing - Active,4. Transforming Education,1. Social Capital,,,27500000.0,Activity record,,False,True,True,Municipality
20,Construction of a Garbage Bin,Atauro,Health and Sanitation,USD,6302.34,2023,2024.0,Gov TL - Infrastructure Fund,GovTL,Completed,5. Job & social protection,2. Infrastructure development,,,630234.0,Activity record,,False,True,True,Municipality
698,Community Based Child Protection Strategy,Ainaro,Human Rights - Protection,USD,13020.0,2023,2024.0,UNICEF,PLAN International,Completed,5. Job & Social Protection,1. Social Capital,,,130200.0,Activity record,,False,True,True,Municipality
261,"UNPRPD joint programe-Empower for Inclusion (OHCHR/HRAU, UN Women, UNICEF)",Dili,Human Rights - Protection,USD,53230.0,2024,2025.0,UNPRPD,"OHCHR/HRAU, UN Women, UNICEF",Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,532300.0,Activity record,,False,True,True,Municipality
262,Provides capacity development support to the Government and the National Human Rights Institution (NHRI),Dili,Human Rights - Protection,USD,244874.0,2023,2025.0,OHCHR,OHCHR/HRAU,Ongoing - Active,3. Digital Connectivity,3. Economic Development,,,2448740.0,Activity record,,False,True,True,Municipality
263,"UN Free & Equal Campaign Timor-Leste (Protect rights of LGBTQI- Lesbian, Gay, Bisexual, Transgender, Queers and Intersex)",Dili,Human Rights - Protection,USD,27600.0,2023,2025.0,OHCHR,Not identified,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,276000.0,Activity record,,False,True,True,Municipality
108,Timor-Leste Police Development Program,Timor-Leste,Human Rights - Protection,USD,23093000.0,2024,2028.0,DFAT,Not identified,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,,230930000.0,Activity record,,False,True,True,National
127,Asia Pacific Forum of National Human Rights Institutions 2022-2027,Timor-Leste,Human Rights - Protection,USD,1271000.0,2023,2026.0,MFAT,Governments and CSOs,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,12710000.0,Activity record,,False,True,True,National
691,For Democratic and Inclusive Election,Timor-Leste,Human Rights - Protection,USD,200000.0,2023,2025.0,EU,PLAN International,Completed,4. Transforming Education,1. Social Capital,,,2000000.0,Activity record,,False,True,True,National
692,"Girls Alliances Initiatives in Aileu, Ainaro and Dili",Timor-Leste,Human Rights - Protection,USD,210000.0,2023,2030.0,PLAN International,PLAN International,Completed,4. Transforming Education,1. Social Capital,,,2100000.0,Activity record,,False,True,True,National
35,Operationalizing Trade Reforms and Strengthening Trade Climate Linkages in ADB Operations,Timor-Leste,Industry and Trade,USD,1900000.0,2024,,ADB,Not identified,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,,19000000.0,Activity record,,False,True,True,National
68,Construction of Archive & Museum and Deposit,Aileu,Infrastructure,USD,100000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,,1000000.0,Activity record,,False,True,True,Municipality
77,"New Construction of Community Health Centre (CHC), Remixio",Aileu,Infrastructure,USD,100000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,,1000000.0,Activity record,,False,True,True,Municipality
82,"New Construction for Health Post and Doctor House, Aicurus",Aileu,Infrastructure,USD,100000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,4. Transforming Education,2. Infrastructure Development,,,1000000.0,Activity record,,False,True,True,Municipality
88,"Road Climate Resilience Project (RNUP), Lot.2 Laulara - Sole",Aileu,Infrastructure,USD,200000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,2000000.0,Activity record,,False,True,True,Municipality
298,Municipal Public Works and Transportation Services,Aileu,Infrastructure,USD,103517.0,2025,,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,,1035170.0,Activity record,,False,True,True,Municipality
76,"New Construction of Community Health Centre (CHC), at Horai",Ainaro,Infrastructure,USD,100000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,,1000000.0,Activity record,,False,True,True,Municipality
2,Construction of new road,Atauro,Infrastructure,USD,38433.97,2025,,GovTL,GovTL,Ongoing - Active,5. Job & social protection,2. Infrastructure development,,,3843397.0,Activity record,,False,True,True,Municipality
3,Construction of  new school building,Atauro,Infrastructure,USD,41981.72,2025,,GovTL,GovTL,Ongoing - Active,5. Job & social protection,2. Infrastructure development,,,4198172.0,Activity record,,False,True,True,Municipality
4,Extension of roads,Atauro,Infrastructure,USD,41981.72,2025,,GovTL,GovTL,Ongoing - Active,5. Job & social protection,2. Infrastructure development,,,4198172.0,Activity record,,False,True,True,Municipality
5,Construction of water reservation tanks,Atauro,Infrastructure,USD,34689.12,2025,,GovTL,GovTL,Ongoing - Active,5. Job & social protection,2. Infrastructure development,,,3468912.0,Activity record,,False,True,True,Municipality
6,construction of new roads,Atauro,Infrastructure,USD,44000.0,2024,,GovTL,GovTL,Ongoing - Active,5. Job & social protection,2. Infrastructure development,,,440000.0,Activity record,,False,True,True,Municipality
8,construction of kindergarten schools,Atauro,Infrastructure,USD,44636.65,2024,,GovTL,GovTL,Ongoing - Active,5. Job & social protection,2. Infrastructure development,,,4463665.0,Activity record,,False,True,True,Municipality
11,Construction of a Cafetaria,Atauro,Infrastructure,USD,63067.77,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & social protection,2. Infrastructure development,,,6306777.0,Activity record,,False,True,True,Municipality
12,Rehabilitation of the teachers' residence,Atauro,Infrastructure,USD,69942.23,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & social protection,2. Infrastructure development,,,6994223.0,Activity record,,False,True,True,Municipality
13,Construction of a health post,Atauro,Infrastructure,USD,36903.01,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & social protection,2. Infrastructure development,,,3690301.0,Activity record,,False,True,True,Municipality
14,Rehabilitation of Observation Room of the Health Post,Atauro,Infrastructure,USD,90365.21,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & social protection,2. Infrastructure development,,,9036521.0,Activity record,,False,True,True,Municipality
15,Construction of a Medical Residence,Atauro,Infrastructure,USD,245087.72,2024,2025.0,Gov TL - Infrastructure Fund,GovTL,Completed,5. Job & social protection,2. Infrastructure development,,,24508772.0,Activity record,,False,True,True,Municipality
16,Rehabilitation of the teachers' residence at Macadade,Atauro,Infrastructure,USD,53408.66,2024,2025.0,Gov TL - Infrastructure Fund,GovTL,Completed,5. Job & social protection,2. Infrastructure development,,,5340866.0,Activity record,,False,True,True,Municipality
17,Rehabilitation of the teachers' residence,Atauro,Infrastructure,USD,150614.96,2024,,Gov Tl - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & social protection,2. Infrastructure development,,,15061496.0,Activity record,,False,True,True,Municipality
23,Contruction of a Cafeteria Maquili Basic School Branch,Atauro,Infrastructure,USD,111869.89,2023,2024.0,Gov TL - Infrastructure Fund,GovTL,Completed,5. Job & social protection,2. Infrastructure development,,,11186989.0,Activity record,,False,True,True,Municipality
65,Construction of Baucau Cultural Center,Baucau,Infrastructure,USD,100000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,,1000000.0,Activity record,,False,True,True,Municipality
67,"Construction of Monument of ""Guerra de Lakudala""",Baucau,Infrastructure,USD,100000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,1000000.0,Activity record,,False,True,True,Municipality
84,Rehabilitation of Road Section: Hatulia - Uaimori Road Package,Baucau,Infrastructure,USD,250000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,2500000.0,Activity record,,False,True,True,Municipality
85,"New Construction for Health Post and Doctor House, Ariana",Baucau,Infrastructure,USD,100000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,,1000000.0,Activity record,,False,True,True,Municipality
86,"New Construction for Health Post and Doctor House, Wacala",Baucau,Infrastructure,USD,100000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,,1000000.0,Activity record,,False,True,True,Municipality
93,Consulting Services for Municipal Spatial Planning of Municipality of Baucau,Baucau,Infrastructure,USD,270504.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,2705040.0,Activity record,,False,True,True,Municipality
197,Upgrading Municipality Market of Baucau,Baucau,Infrastructure,USD,1621113.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,,16211130.0,Activity record,,False,True,True,Municipality
358,Maintenance and Conservation of Roads and Bridges,Baucau,Infrastructure,USD,121634.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,,1216340.0,Activity record,,False,True,True,Municipality
81,Construction of Emergency Road In Buipira-Maliana to Colimau,Bobonaro,Infrastructure,USD,500000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,4. Transforming Education,2. Infrastructure Development,,,5000000.0,Activity record,,False,True,True,Municipality
87,"Rehabilitation of the Urban Road, Maliana (23Km)",Bobonaro,Infrastructure,USD,14000000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,140000000.0,Activity record,,False,True,True,Municipality
90,"Rehabilitation of Rural Road, Atabae - Rairobo Chainage",Bobonaro,Infrastructure,USD,227782.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,2277820.0,Activity record,,False,True,True,Municipality
92,"Rehabilitation of Rural Road, Atabae - Rairobo Chainage",Bobonaro,Infrastructure,USD,227552.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,2275520.0,Activity record,,False,True,True,Municipality
194,Maliana Urban Master Planning Project,Bobonaro,Infrastructure,USD,343283.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,2. Energy Access & Affordability,3. Economic Development,,,3432830.0,Activity record,,False,True,True,Municipality
60,New Construction of Perimeter Fence Backfill and Concrete Ya,Covalima,Infrastructure,USD,500000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,,5000000.0,Activity record,,False,True,True,Municipality
83,Emergency Tafara River,Covalima,Infrastructure,USD,186676.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,1866760.0,Activity record,,False,True,True,Municipality
61,Supervision for the construction of the Eternal Flame Garden,Dili,Infrastructure,USD,120000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,,1200000.0,Activity record,,False,True,True,Municipality
62,Construction of the Eternal Flame Garden,Dili,Infrastructure,USD,1200000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,,12000000.0,Activity record,,False,True,True,Municipality
64,The Restoration of Old Portugues Culture & Heritage Building,Dili,Infrastructure,USD,100000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,1000000.0,Activity record,,False,True,True,Municipality
70,"Road Network Upgrading Project (RNUP), Upgrading and Maintenance",Dili,Infrastructure,USD,400000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,2. Energy Access & Affordability,2. Infrastructure Development,,,4000000.0,Activity record,,False,True,True,Municipality
75,Construction of Secondary Roads - Tasi Tolu,Dili,Infrastructure,USD,100000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,,1000000.0,Activity record,,False,True,True,Municipality
80,Roads and Drainage Rehabilitation Auto Timor - Bebonuk,Dili,Infrastructure,USD,250000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,2500000.0,Activity record,,False,True,True,Municipality
89,Construction of the  Pediatric and ICCU Building in Guido Valadares,Dili,Infrastructure,USD,2802500.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,,28025000.0,Activity record,,False,True,True,Municipality
94,Consulting Services for Municipal Spatial Planning of Municipality of Dili,Dili,Infrastructure,USD,100000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,,1000000.0,Activity record,,False,True,True,Municipality
97,Construction of the Building of the Tribunal Distrital of Dili,Dili,Infrastructure,USD,1068290.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,,10682900.0,Activity record,,False,True,True,Municipality
98,Feasibility Study and DED for the Construction of the New Navy Port in Hera,Dili,Infrastructure,USD,345303.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,3453030.0,Activity record,,False,True,True,Municipality
99,Construction of Democracy & Civic Education Center,Dili,Infrastructure,USD,100000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,1000000.0,Activity record,,False,True,True,Municipality
104,Re-development of Becora secondary Technical- Vocational School,Dili,Infrastructure,USD,100000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,1000000.0,Activity record,,False,True,True,Municipality
106,Rehabilitation of Dr. Antonio Carvalho Hospital Lahane,Dili,Infrastructure,USD,100000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,,1000000.0,Activity record,,False,True,True,Municipality
193,Study and installation of Fiber Optic,Dili,Infrastructure,USD,2376704.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,,23767040.0,Activity record,,False,True,True,Municipality
285,Refurbishment and content updating of Youth Centers,Dili,Infrastructure,USD,75095.0,2023,2024.0,UNFPA,UNFPA,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,750950.0,Activity record,,False,True,True,Municipality
672,Maloa Urban Resilience Initiative,Dili,Infrastructure,USD,2446696.81,2023,2024.0,EU,,Completed,5. Job & Social Protection,3. Economic Development,,,244669681.0,Activity record,,False,True,True,Municipality
50,Timor-Leste Branch Roads Project,Ermera,Infrastructure,USD,70810000.0,2023,2027.0,WB,Not identified,Ongoing - Active,2. Energy Access & Affordability,2. Infrastructure Development,,,708100000.0,Activity record,,False,True,True,Municipality
66,New construction of Health Post & Doctor House in Obulo Ermera,Ermera,Infrastructure,USD,100000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,,1000000.0,Activity record,,False,True,True,Municipality
71,"Construction of National Roads, Gleno - Letefoho A10 - 25",Ermera,Infrastructure,USD,2000000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,,20000000.0,Activity record,,False,True,True,Municipality
78,Construction of a new National Road Ermera - Hatulia A11,Ermera,Infrastructure,USD,500000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,4. Transforming Education,2. Infrastructure Development,,,5000000.0,Activity record,,False,True,True,Municipality
79,Construction of New National Road Letefoho - Atsabe A1,Ermera,Infrastructure,USD,1000000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,10000000.0,Activity record,,False,True,True,Municipality
195,Ermera Urban Master Planning Project,Ermera,Infrastructure,USD,343283.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,,3432830.0,Activity record,,False,True,True,Municipality
196,Upgrading Municipality Market of Ermera,Ermera,Infrastructure,USD,1947956.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,,19479560.0,Activity record,,False,True,True,Municipality
592,Rehabilitation of Rural Road - Batumano,Ermera,Infrastructure,USD,299287.0,2023,2023.0,"GCF, Gov TL, UNDP",UNDP,,3. Digital Connectivity,1. Social Capital,,,2992870.0,Activity record,,False,True,True,Municipality
593,Rehabilitation of Rural Road - Lauana,Ermera,Infrastructure,USD,295698.0,2023,2023.0,"GCF, Gov TL, UNDP",UNDP,Completed,"6. Climate, Biodiversity & Pollution",1. Social Capital,,,2956980.0,Activity record,,False,True,True,Municipality
594,Rehabilitation of Rural Road - Katrai Kraik,Ermera,Infrastructure,USD,273293.0,2023,2023.0,"GCF, Gov TL, UNDP",UNDP,Completed,1. Transformation Food Systems,1. Social Capital,,,2732930.0,Activity record,,False,True,True,Municipality
596,Rehabilitation of the Irrigation System - Malabe,Ermera,Infrastructure,USD,169854.0,2023,2023.0,"GCF, Gov TL, UNDP",UNDP,Completed,5. Job & Social Protection,1. Social Capital,,,1698540.0,Activity record,,False,True,True,Municipality
681,Timor-Leste Branch Roads Project,Ermera,Infrastructure,USD,70810000.0,2023,2027.0,WB,,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,708100000.0,Activity record,,False,True,True,Municipality
63,Construction of the Kay Rala Xanana Gusmao Garden,Lautem,Infrastructure,USD,100000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,1000000.0,Activity record,,False,True,True,Municipality
72,"Construction of National Roads, Lautem - Lospalos",Lautem,Infrastructure,USD,500000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,5000000.0,Activity record,,False,True,True,Municipality
